"No.","Time","Source","Destination","Protocol","Length","Info"
"85","0.050043000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 1"
"87","0.000054000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 2"
"89","0.000029000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 3"
"91","0.000071000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 4"
"93","0.000031000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 5"
"95","0.000029000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 6"
"97","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 7"
"99","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 8"
"101","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 9"
"103","0.000105000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 10"
"105","0.000125000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 11"
"107","0.000048000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 12"
"109","0.000130000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 13"
"111","0.000097000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 14"
"113","0.000086000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 15"
"115","0.000051000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 16"
"117","0.000052000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 17"
"119","0.000051000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 18"
"121","0.006439000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 19"
"123","0.000091000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 20"
"125","0.000130000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 21"
"127","0.000094000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 22"
"129","0.000043000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 23"
"131","0.000040000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 24"
"133","0.000087000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 25"
"135","0.000060000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 26"
"137","0.000041000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 27"
"139","0.000041000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 28"
"141","0.004881000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 29"
"143","0.000073000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 30"
"145","0.000091000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 31"
"147","0.000031000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 32"
"150","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 33"
"152","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 34"
"154","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 35"
"156","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 36"
"158","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 37"
"160","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 38"
"162","0.000026000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 39"
"164","0.000095000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 40"
"166","0.000088000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 41"
"168","0.000032000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 42"
"170","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 43"
"172","0.000026000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 44"
"174","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 45"
"176","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 46"
"178","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 47"
"180","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 48"
"182","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 49"
"184","0.000093000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 50"
"186","0.000089000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 51"
"188","0.000036000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 52"
"190","0.000029000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 53"
"192","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 54"
"194","0.000029000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 55"
"196","0.000029000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 56"
"198","0.000036000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 57"
"200","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 58"
"202","0.000073000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 59"
"204","0.000093000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 60"
"206","0.000131000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 61"
"208","0.000096000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 62"
"210","0.000042000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 63"
"212","0.000043000","192.168.1.1","192.168.1.7","TFTP","331","Data Packet, Block: 64 (last)"
