"No.","Time","Source","Destination","Protocol","Length","Info"
"86","0.051951000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 1"
"88","0.051914000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 2"
"90","0.051975000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 3"
"92","0.051932000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 4"
"94","0.051971000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 5"
"96","0.051991000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 6"
"98","0.051982000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 7"
"100","0.052007000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 8"
"102","0.051965000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 9"
"104","0.051924000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 10"
"106","0.051791000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 11"
"108","0.051912000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 12"
"110","0.051853000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 13"
"112","0.051810000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 14"
"114","0.051894000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 15"
"116","0.051957000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 16"
"118","0.051918000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 17"
"120","0.051939000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 18"
"122","0.052102000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 19"
"124","0.051909000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 20"
"126","0.051822000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 21"
"128","0.051820000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 22"
"130","0.051983000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 23"
"132","0.052015000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 24"
"134","0.051929000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 25"
"136","0.051886000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 26"
"138","0.051963000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 27"
"140","0.051915000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 28"
"142","0.052207000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 29"
"144","0.051972000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 30"
"146","0.051926000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 31"
"149","0.012969000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 32"
"151","0.052178000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 33"
"153","0.051879000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 34"
"155","0.051979000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 35"
"157","0.051950000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 36"
"159","0.051949000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 37"
"161","0.052002000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 38"
"163","0.051875000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 39"
"165","0.051898000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 40"
"167","0.051962000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 41"
"169","0.051979000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 42"
"171","0.051995000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 43"
