"No.","Time","Source","Destination","Protocol","Length","Info"
"84","0.002709000","192.168.1.7","192.168.1.1","TFTP","62","Read Request, File: Analyze.txt, Transfer type: octet"
"85","0.050043000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 1"
"86","0.051951000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 1"
"87","0.000054000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 2"
"88","0.051914000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 2"
"89","0.000029000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 3"
"90","0.051975000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 3"
"91","0.000071000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 4"
"92","0.051932000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 4"
"93","0.000031000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 5"
"94","0.051971000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 5"
"95","0.000029000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 6"
"96","0.051991000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 6"
"97","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 7"
"98","0.051982000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 7"
"99","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 8"
"100","0.052007000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 8"
"101","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 9"
"102","0.051965000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 9"
"103","0.000105000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 10"
"104","0.051924000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 10"
"105","0.000125000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 11"
"106","0.051791000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 11"
"107","0.000048000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 12"
"108","0.051912000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 12"
"109","0.000130000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 13"
"110","0.051853000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 13"
"111","0.000097000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 14"
"112","0.051810000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 14"
"113","0.000086000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 15"
"114","0.051894000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 15"
"115","0.000051000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 16"
"116","0.051957000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 16"
"117","0.000052000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 17"
"118","0.051918000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 17"
"119","0.000051000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 18"
"120","0.051939000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 18"
"121","0.006439000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 19"
"122","0.052102000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 19"
"123","0.000091000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 20"
"124","0.051909000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 20"
"125","0.000130000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 21"
"126","0.051822000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 21"
"127","0.000094000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 22"
"128","0.051820000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 22"
"129","0.000043000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 23"
"130","0.051983000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 23"
"131","0.000040000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 24"
"132","0.052015000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 24"
"133","0.000087000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 25"
"134","0.051929000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 25"
"135","0.000060000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 26"
"136","0.051886000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 26"
"137","0.000041000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 27"
"138","0.051963000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 27"
"139","0.000041000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 28"
"140","0.051915000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 28"
"141","0.004881000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 29"
"142","0.052207000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 29"
"143","0.000073000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 30"
"144","0.051972000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 30"
"145","0.000091000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 31"
"146","0.051926000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 31"
"147","0.000031000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 32"
"148","0.039006000","Hewlett-_80:5f:7f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:14:38:80:5f:40  Cost = 0  Port = 0x8001"
"149","0.012969000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 32"
"150","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 33"
"151","0.052178000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 33"
"152","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 34"
"153","0.051879000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 34"
"154","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 35"
"155","0.051979000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 35"
"156","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 36"
"157","0.051950000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 36"
"158","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 37"
"159","0.051949000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 37"
"160","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 38"
"161","0.052002000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 38"
"162","0.000026000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 39"
"163","0.051875000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 39"
"164","0.000095000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 40"
"165","0.051898000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 40"
"166","0.000088000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 41"
"167","0.051962000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 41"
"168","0.000032000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 42"
"169","0.051979000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 42"
"170","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 43"
"171","0.051995000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 43"
"172","0.000026000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 44"
"173","0.051947000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 44"
"174","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 45"
"175","0.052007000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 45"
"176","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 46"
"177","0.051949000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 46"
"178","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 47"
"179","0.051919000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 47"
"180","0.000027000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 48"
"181","0.052004000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 48"
"182","0.000028000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 49"
"183","0.052003000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 49"
"184","0.000093000","192.168.1.1","192.168.1.7","TFTP","558","Data Packet, Block: 50"
"185","0.051955000","192.168.1.7","192.168.1.1","TFTP","60","Acknowledgement, Block: 50"
