"No.","Time","Source","Destination","Protocol","Length","Info"
"15","1.907779000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x12233456"
"16","0.000202000","192.168.1.1","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0x12233456"
"17","0.010994000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Request  - Transaction ID 0x12233456"
"18","0.000224000","192.168.1.1","255.255.255.255","DHCP","342","DHCP ACK      - Transaction ID 0x12233456"
"19","0.005767000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"20","0.000153000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"21","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"22","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"23","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"24","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"25","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"26","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"27","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"28","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"29","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"30","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"31","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"32","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"33","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"34","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"35","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"36","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"37","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"38","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"39","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"40","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"41","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"42","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"43","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"44","0.000144000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"45","0.000131000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"46","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"47","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"48","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"49","0.000144000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"50","0.000133000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"51","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"52","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"53","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"54","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"55","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"56","0.000140000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"57","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"58","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"59","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"60","0.000139000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"61","0.000137000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"62","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
"63","0.000138000","192.168.1.7","255.255.255.255","UDP","74","Source port: bre  Destination port: discard"
