"No.","Time","Source","Destination","Protocol","Length","Info"
"3","1.857963000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x12233456"
"4","0.000230000","192.168.1.1","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0x12233456"
"5","0.010955000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Request  - Transaction ID 0x12233456"
"6","0.000165000","192.168.1.1","255.255.255.255","DHCP","342","DHCP ACK      - Transaction ID 0x12233456"
"7","0.016188000","192.168.1.7","255.255.255.255","UDP","1066","Source port: bre  Destination port: discard"
"8","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: patrolview  Destination port: discard"
"9","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: drmsfsd  Destination port: discard"
"10","0.011501000","192.168.1.7","255.255.255.255","DCERPC","1066","Request: seq: 1109345098 opnum: 7170 len: 12"
"11","0.011503000","192.168.1.7","255.255.255.255","UDP","1066","Source port: igo-incognito  Destination port: discard"
"12","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: brlp-0  Destination port: discard"
"13","0.011503000","192.168.1.7","255.255.255.255","UDP","1066","Source port: brlp-1  Destination port: discard"
"14","0.011506000","192.168.1.7","255.255.255.255","UDP","1066","Source port: brlp-2  Destination port: discard"
"15","0.011496000","192.168.1.7","255.255.255.255","UDP","1066","Source port: brlp-3  Destination port: discard"
"16","0.011490000","192.168.1.7","255.255.255.255","UDP","1066","Source port: shofar  Destination port: discard"
"18","0.000492000","192.168.1.7","255.255.255.255","UDP","1066","Source port: synchronite  Destination port: discard"
"19","0.011501000","192.168.1.7","255.255.255.255","UDP","1066","Source port: j-ac  Destination port: discard"
"20","0.011507000","192.168.1.7","255.255.255.255","UDP","1066","Source port: accel  Destination port: discard"
"21","0.011493000","192.168.1.7","255.255.255.255","UDP","1066","Source port: izm  Destination port: discard"
"22","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: g2tag  Destination port: discard"
"23","0.011503000","192.168.1.7","255.255.255.255","UDP","1066","Source port: xgrid  Destination port: discard"
"24","0.011496000","192.168.1.7","255.255.255.255","UDP","1066","Source port: apple-vpns-rp  Destination port: discard"
"25","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: aipn-reg  Destination port: discard"
"26","0.011492000","192.168.1.7","255.255.255.255","UDP","1066","Source port: jomamqmonitor  Destination port: discard"
"27","0.011503000","192.168.1.7","255.255.255.255","UDP","1066","Source port: cds  Destination port: discard"
"28","0.011496000","192.168.1.7","255.255.255.255","UDP","1066","Source port: smartcard-tls  Destination port: discard"
"29","0.011502000","192.168.1.7","255.255.255.255","UDP","1066","Source port: hillrserv  Destination port: discard"
"30","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: netscript  Destination port: discard"
"31","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: assuria-slm  Destination port: discard"
"32","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4120  Destination port: discard"
"33","0.011498000","192.168.1.7","255.255.255.255","UDP","1066","Source port: e-builder  Destination port: discard"
"34","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: fprams  Destination port: discard"
"35","0.011499000","192.168.1.7","255.255.255.255","UDP","1066","Source port: z-wave  Destination port: discard"
"36","0.011498000","192.168.1.7","255.255.255.255","UDP","1066","Source port: tigv2  Destination port: discard"
"37","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: opsview-envoy  Destination port: discard"
"38","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: ddrepl  Destination port: discard"
"39","0.011495000","192.168.1.7","255.255.255.255","UDP","1066","Source port: unikeypro  Destination port: discard"
"40","0.011499000","192.168.1.7","255.255.255.255","UDP","1066","Source port: nufw  Destination port: discard"
"41","0.011499000","192.168.1.7","255.255.255.255","UDP","1066","Source port: nuauth  Destination port: discard"
"42","0.011498000","192.168.1.7","255.255.255.255","UDP","1066","Source port: fronet  Destination port: discard"
"43","0.011495000","192.168.1.7","255.255.255.255","UDP","1066","Source port: stars  Destination port: discard"
"44","0.011501000","192.168.1.7","255.255.255.255","UDP","1066","Source port: nuts-dem  Destination port: discard"
"45","0.011491000","192.168.1.7","255.255.255.255","UDP","1066","Source port: nuts-bootp  Destination port: discard"
"46","0.011508000","192.168.1.7","255.255.255.255","UDP","1066","Source port: nifty-hmi  Destination port: discard"
"47","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: cl-db-attach  Destination port: discard"
"48","0.011487000","192.168.1.7","255.255.255.255","UDP","1066","Source port: cl-db-request  Destination port: discard"
"49","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: cl-db-remote  Destination port: discard"
"50","0.011513000","192.168.1.7","255.255.255.255","UDP","1066","Source port: nettest  Destination port: discard"
"51","0.011495000","192.168.1.7","255.255.255.255","UDP","1066","Source port: thrtx  Destination port: discard"
"52","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: cedros-fds  Destination port: discard"
"53","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: oirtgsvc  Destination port: discard"
"54","0.011492000","192.168.1.7","255.255.255.255","UDP","1066","Source port: oidocsvc  Destination port: discard"
"55","0.011492000","192.168.1.7","255.255.255.255","UDP","1066","Source port: oidsr  Destination port: discard"
"56","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: 4144  Destination port: discard"
"57","0.011493000","192.168.1.7","255.255.255.255","UDP","1066","Source port: vvr-control  Destination port: discard"
"58","0.011504000","192.168.1.7","255.255.255.255","UDP","1066","Source port: tgcconnect  Destination port: discard"
"59","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: vrxpservman  Destination port: discard"
"60","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: hhb-handheld  Destination port: discard"
"61","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: agslb  Destination port: discard"
"62","0.011497000","192.168.1.7","255.255.255.255","UDP","1066","Source port: PowerAlert-nsa  Destination port: discard"
"63","0.011500000","192.168.1.7","255.255.255.255","UDP","1066","Source port: menandmice-noh  Destination port: discard"
"64","0.011505000","192.168.1.7","255.255.255.255","UDP","1066","Source port: idig-mux  Destination port: discard"
"65","0.011494000","192.168.1.7","255.255.255.255","UDP","1066","Source port: mbl-battd  Destination port: discard"
"66","0.011496000","192.168.1.7","255.255.255.255","UDP","1066","Source port: atlinks  Destination port: discard"
"67","0.011499000","192.168.1.7","255.255.255.255","UDP","1066","Source port: bzr  Destination port: discard"
"68","0.011498000","192.168.1.7","255.255.255.255","UDP","1066","Source port: stat-results  Destination port: discard"
"69","0.011498000","192.168.1.7","255.255.255.255","UDP","1066","Source port: stat-scanner  Destination port: discard"
"70","0.011499000","192.168.1.7","255.255.255.255","UDP","1066","Source port: stat-cc  Destination port: discard"
"71","0.011514000","192.168.1.7","255.255.255.255","UDP","1066","Source port: nss  Destination port: discard"
